transactionId,loanAccountNo,customerName,amount,status,transactionDate
TXN001,LN1001,Ujjwal,5000,SUCCESS,2026-06-28
TXN002,LN1002,Rahul,3000,FAILED,2026-06-28
TXN003,LN1003,Amit,-100,SUCCESS,2026-06-28
,LN1004,Ravi,2000,SUCCESS,2026-06-28
TXN005,LN1005,Suman,1000,INVALID,2026-06-28
TXN000006,LN001006,Pooja,10900,SUCCESS,2026-06-23
TXN000007,LN001007,Manish,22800,SUCCESS,2026-03-01
TXN000008,LN001008,Neha,43400,SUCCESS,2026-02-26
TXN000009,LN001009,Anjali,71900,SUCCESS,2026-04-19
TXN000010,LN001010,Mohit,10400,SUCCESS,2026-04-02
TXN000011,LN001011,Ritu,13200,SUCCESS,2026-04-07
TXN000012,LN001012,Sandeep,59600,SUCCESS,2026-02-19
TXN000013,LN001013,Ankit,88000,FAILED,2026-03-01
TXN000014,LN001014,Arjun,38400,SUCCESS,2026-04-01
TXN000015,LN001015,Payal,65500,SUCCESS,2026-02-13
TXN000016,LN001016,Arjun,66000,SUCCESS,2026-06-26
TXN000017,LN001017,Aditya,84600,FAILED,2026-01-09
TXN000018,LN001018,Amit,90200,SUCCESS,2026-03-22
TXN000019,LN001019,Saurabh,27600,PENDING,2026-02-05
TXN000020,LN001020,Pooja,60200,FAILED,2026-04-13
TXN000021,LN001021,Suman,5300,SUCCESS,2026-01-29
TXN000022,LN001022,Divya,39500,SUCCESS,2026-06-02
TXN000023,LN001023,Kavita,-50,PENDING,2026-06-24
TXN000024,LN001024,Mohit,45000,SUCCESS,2026-02-10
TXN000025,LN001025,Saurabh,78500,SUCCESS,2026-02-15
TXN000026,LN001026,Sandeep,62800,SUCCESS,2026-02-20
TXN000027,LN001027,Kavita,94500,PENDING,2026-01-01
TXN000028,LN001028,Ravi,85600,PENDING,2026-03-20
TXN000029,LN001029,Manish,50200,PENDING,2026-01-18
TXN000030,LN001030,Suman,56700,SUCCESS,2026-02-12
TXN000031,LN001031,Meena,77800,INVALID,2026-06-26
TXN000032,LN001032,Divya,53400,SUCCESS,2026-04-26
TXN000033,LN001033,Vikas,60700,SUCCESS,2026-02-26
,LN001034,Rahul,88500,SUCCESS,2026-03-26
TXN000035,LN001035,Divya,74500,SUCCESS,2026-05-27
TXN000036,LN001036,Nisha,10400,FAILED,2026-06-18
TXN000037,LN001037,Arjun,67400,PENDING,2026-06-15
TXN000038,LN001038,Vikas,20100,FAILED,2026-02-18
TXN000039,LN001039,Priya,95000,SUCCESS,2026-01-20
TXN000040,LN001040,Kavita,55800,SUCCESS,2026-01-04
TXN000041,LN001041,Anjali,49700,SUCCESS,2026-02-24
TXN000042,LN001042,Priya,27600,SUCCESS,2026-04-27
TXN000043,LN001043,Jyoti,74000,INVALID,2026-05-05
TXN000044,LN001044,Rahul,77000,SUCCESS,2026-03-22
TXN000045,LN001045,Deepak,6300,PENDING,2026-05-11
TXN000046,LN001046,Asha,41800,SUCCESS,2026-01-31
TXN000047,LN001047,Manish,43400,SUCCESS,2026-06-18
TXN000048,LN001048,Payal,32600,SUCCESS,2026-03-03
TXN000049,LN001049,Sandeep,77400,SUCCESS,2026-01-19
,LN001050,Manish,22300,INVALID,2026-05-10
TXN000051,LN001051,Saurabh,29600,SUCCESS,2026-02-10
TXN000052,LN001052,Karan,67400,SUCCESS,2026-05-16
,LN001053,Karan,90400,PENDING,2026-02-04
TXN000054,LN001054,Jyoti,62400,SUCCESS,2026-02-23
TXN000055,LN001055,Sandeep,26200,FAILED,2026-01-14
TXN000056,LN001056,Pooja,13800,SUCCESS,2026-06-13
TXN000057,LN001057,Arjun,1400,SUCCESS,2026-01-29
TXN000058,LN001058,Saurabh,38300,SUCCESS,2026-05-30
TXN000059,LN001059,Rahul,82000,SUCCESS,2026-01-11
TXN000060,LN001060,Ankit,57800,SUCCESS,2026-04-15
TXN000061,LN001061,Payal,82400,PENDING,2026-02-15
TXN000062,LN001062,Jyoti,42600,PENDING,2026-06-21
TXN000063,LN001063,Pooja,39600,SUCCESS,2026-01-10
TXN000064,LN001064,Aditya,84500,PENDING,2026-02-28
TXN000065,LN001065,Rohit,99500,SUCCESS,2026-03-13
TXN000066,LN001066,Divya,96600,INVALID,2026-01-08
TXN000067,LN001067,Priya,4400,SUCCESS,2026-01-28
TXN000068,LN001068,Ritu,52800,SUCCESS,2026-01-30
TXN000069,LN001069,Pooja,53700,SUCCESS,2026-05-18
TXN000070,LN001070,Jyoti,7600,SUCCESS,2026-06-20
TXN000071,LN001071,Divya,31200,FAILED,2026-05-10
TXN000072,LN001072,Rohit,20100,SUCCESS,2026-04-18
TXN000073,LN001073,Jyoti,31300,PENDING,2026-04-14
TXN000074,,Karan,62600,SUCCESS,2026-06-17
TXN000075,LN001075,Divya,92700,SUCCESS,2026-02-13
TXN000076,LN001076,Divya,84300,SUCCESS,2026-03-02
TXN000077,LN001077,Neha,49100,SUCCESS,2026-06-06
TXN000078,LN001078,Meena,74000,PENDING,2026-06-28
TXN000079,LN001079,Suman,-50,SUCCESS,2026-04-19
TXN000080,LN001080,Varun,26000,SUCCESS,2026-02-01
TXN000081,LN001081,Divya,32900,SUCCESS,2026-04-24
TXN000082,LN001082,Deepak,46100,SUCCESS,2026-02-10
TXN000083,LN001083,Pooja,28800,FAILED,2026-05-14
TXN000084,LN001084,Arjun,28300,SUCCESS,2026-03-27
TXN000085,LN001085,Suman,16100,SUCCESS,2026-02-24
TXN000086,LN001086,Kavita,85700,SUCCESS,2026-04-18
TXN000087,LN001087,Varun,59400,SUCCESS,2026-04-08
TXN000088,LN001088,Karan,98100,FAILED,2026-04-18
TXN000089,LN001089,Ritu,22900,SUCCESS,2026-03-11
TXN000090,LN001090,Vikas,74600,SUCCESS,2026-02-12
TXN000091,LN001091,Asha,61100,SUCCESS,2026-05-25
TXN000092,LN001092,Meena,5600,SUCCESS,2026-03-08
TXN000093,LN001093,Vikas,28900,SUCCESS,2026-04-18
TXN000094,LN001094,Ujjwal,97900,FAILED,2026-03-31
TXN000095,LN001095,Sandeep,25800,SUCCESS,2026-02-21
TXN000096,LN001096,Ankit,58200,SUCCESS,2026-02-25
TXN000097,LN001097,Sneha,77000,SUCCESS,2026-01-30
TXN000098,LN001098,Karan,32400,SUCCESS,2026-05-28
TXN000099,LN001099,Rohit,61100,PENDING,2026-06-26
TXN000100,LN001100,Varun,61900,FAILED,2026-01-31
TXN000101,LN001101,Rahul,38400,SUCCESS,2026-01-18
TXN000102,LN001102,Anjali,44800,SUCCESS,2026-04-03
TXN000103,LN001103,Varun,53900,SUCCESS,2026-06-16
TXN000104,LN001104,Kavita,85000,FAILED,2026-06-01
TXN000105,LN001105,Aditya,46600,PENDING,2026-03-04
TXN000106,LN001106,Divya,87600,SUCCESS,2026-03-25
TXN000107,LN001107,Ritu,61500,SUCCESS,2026-03-12
TXN000108,LN001108,Neha,50500,SUCCESS,2026-05-23
TXN000109,LN001109,Sandeep,2200,SUCCESS,2026-01-24
TXN000110,LN001110,Ankit,48900,SUCCESS,2026-05-22
TXN000111,LN001111,Jyoti,46900,SUCCESS,2026-03-11
TXN000112,LN001112,Jyoti,55300,SUCCESS,2026-06-26
TXN000113,LN001113,Nisha,78300,SUCCESS,2026-05-15
TXN000114,LN001114,Aditya,18800,SUCCESS,2026-03-19
TXN000115,LN001115,Pooja,30400,SUCCESS,2026-06-28
TXN000116,LN001116,Mohit,59200,SUCCESS,2026-03-14
TXN000117,LN001117,Priya,88700,INVALID,2026-05-03
TXN000118,LN001118,Nisha,5900,SUCCESS,2026-02-08
TXN000119,LN001119,Karan,57600,SUCCESS,2026-04-17
TXN000120,LN001120,Ankit,93500,FAILED,2026-04-24
TXN000121,LN001121,Meena,62900,SUCCESS,2026-01-26
TXN000122,LN001122,Neha,25000,SUCCESS,2026-02-14
TXN000123,LN001123,Meena,30300,SUCCESS,2026-01-09
TXN000124,LN001124,Varun,24400,FAILED,2026-03-09
TXN000125,LN001125,Divya,12200,FAILED,2026-05-20
TXN000126,LN001126,Pooja,17400,FAILED,2026-03-20
TXN000127,LN001127,Payal,71000,SUCCESS,2026-03-19
TXN000128,LN001128,Deepak,61700,SUCCESS,2026-01-11
TXN000129,LN001129,Asha,98900,SUCCESS,2026-06-22
TXN000130,LN001130,Ujjwal,28000,INVALID,2026-05-28
TXN000131,LN001131,Nisha,28900,SUCCESS,2026-02-16
TXN000132,LN001132,Aditya,36100,SUCCESS,2026-04-15
TXN000133,LN001133,Anjali,51200,SUCCESS,2026-03-15
TXN000134,LN001134,Mohit,32700,SUCCESS,2026-03-06
TXN000135,LN001135,Rohit,600,PENDING,2026-06-18
TXN000136,LN001136,Rahul,77900,SUCCESS,2026-05-08
TXN000137,LN001137,Neha,29900,SUCCESS,2026-04-23
TXN000138,LN001138,Ujjwal,25000,INVALID,2026-02-10
TXN000139,LN001139,Meena,93900,SUCCESS,2026-01-30
TXN000140,LN001140,Aditya,30300,SUCCESS,2026-05-11
TXN000141,LN001141,Nisha,56900,INVALID,2026-02-07
TXN000142,LN001142,Deepak,7600,FAILED,2026-03-12
TXN000143,LN001143,Vikas,84500,PENDING,2026-01-01
TXN000144,LN001144,Manish,89100,SUCCESS,2026-02-08
TXN000145,LN001145,Vikas,47100,SUCCESS,2026-03-24
TXN000146,LN001146,Ankit,79900,SUCCESS,2026-04-16
TXN000147,LN001147,Varun,68400,PENDING,2026-06-16
TXN000148,LN001148,Rahul,34400,SUCCESS,2026-01-26
TXN000149,LN001149,Deepak,0,PENDING,2026-02-06
TXN000150,LN001150,Suman,27600,SUCCESS,2026-03-28
TXN000151,LN001151,Amit,88400,FAILED,2026-05-17
TXN000152,LN001152,Varun,55900,PENDING,2026-01-10
TXN000153,LN001153,Divya,76900,PENDING,2026-01-24
TXN000154,LN001154,Sandeep,17500,SUCCESS,2026-06-27
TXN000155,LN001155,Vikas,38800,FAILED,2026-04-21
TXN000156,LN001156,Manish,18400,SUCCESS,2026-01-21
TXN000157,LN001157,Divya,15100,SUCCESS,2026-03-01
TXN000158,LN001158,Pooja,48100,SUCCESS,2026-03-15
TXN000159,LN001159,Arjun,31100,PENDING,2026-06-13
TXN000160,LN001160,Arjun,39800,FAILED,2026-05-04
TXN000161,LN001161,Sneha,30700,SUCCESS,2026-01-06
TXN000162,LN001162,Pooja,80100,SUCCESS,2026-01-13
TXN000163,LN001163,Aditya,82300,PENDING,2026-02-28
TXN000164,LN001164,Sandeep,77800,SUCCESS,2026-06-18
TXN000165,LN001165,Ravi,32100,PENDING,2026-04-23
TXN000166,LN001166,Suman,77000,SUCCESS,2026-04-17
TXN000167,LN001167,Kavita,51800,PENDING,2026-03-11
TXN000168,LN001168,Aditya,30700,PENDING,2026-03-28
TXN000169,LN001169,Amit,88500,SUCCESS,2026-06-23
