repaymentId,loanAccountNo,customerId,customerName,mobileNumber,email,branchCode,ifscCode,paymentMode,amount,penaltyAmount,totalAmount,status,paymentDate,dueDate,referenceNumber,remarks
RPY000001,LN193342,CUST97611,Baghyawati Radhakrishnan,8553939277,cahluwalia@example.org,BR554,SBIN0154571,CASH,23158.85,567.14,23725.99,INVALID,2026-06-19,2026-05-23,REF31919081,Transaction failed at gateway
RPY000002,LN939880,CUST66889,Kamala Rastogi,9133927021,badamigauri@example.com,BR629,SBIN0591423,CASH,8721.93,522.56,9244.49,FAILED,2026-04-22,2026-04-14,REF14028906,Auto-debit processed
RPY000003,LN947252,CUST69629,Mohini Krishnamurthy,7695456962,bajwazaid@example.com,BR827,SBIN0151280,IMPS,33071.26,1896.11,34967.37,PENDING,2026-04-17,2026-03-20,REF61458702,
RPY000004,LN585721,CUST57248,Qadim Biswas,6292405282,nkorpal@example.org,BR539,SBIN0462706,CASH,16161.47,1972.8,18134.27,PENDING,2026-04-18,2026-04-02,REF27997769,Delayed payment
RPY000005,LN248801,CUST13540,Vidhi Venkataraman,9901083439,ekanta52@example.com,BR406,SBIN0416388,IMPS,9384.57,360.72,9745.29,REVERSED,2026-04-26,2026-03-18,REF65462395,Payment received successfully
RPY000006,LN372238,CUST66942,Diya Dhar,8579409503,nadkarnigagan@example.net,BR906,SBIN0455658,CASH,28412.48,767.52,29180.0,REVERSED,2026-01-08,2025-12-13,REF57174084,Auto-debit processed
RPY000007,LN896253,CUST73527,Wriddhish Ganguly,7500476773,bathharish@example.com,BR894,SBIN0921529,IMPS,19210.62,1058.36,20268.98,INVALID,2026-03-31,2026-03-10,REF90040817,
RPY000008,LN420493,CUST20869,Nandini Sabharwal,8038533377,chandranmander@example.com,BR118,SBIN0169627,IMPS,34112.86,833.65,34946.51,INVALID,2026-04-15,2026-03-07,REF78316554,Manual verification required
RPY000009,LN921167,CUST14315,Nitara Viswanathan,9728952003,eta61@example.org,BR594,SBIN0829747,NETBANKING,46613.75,1127.71,47741.46,SUCCESS,2026-04-05,2026-03-31,REF24408351,Delayed payment
RPY000010,LN897173,CUST49533,Ijaya Krishnan,8376976077,anikashukla@example.org,BR508,SBIN0226657,IMPS,15488.83,1531.52,17020.35,PENDING,2026-03-03,2026-01-30,REF21804034,Delayed payment
RPY000011,LN755846,CUST81400,Fariq Zacharia,6132086254,nazaretheshana@example.com,BR941,SBIN0778450,NETBANKING,14067.02,734.03,14801.05,FAILED,2026-02-17,2026-01-11,REF68227707,Customer requested reversal
RPY000012,LN911234,CUST30227,Jai Baria,8083535633,jsalvi@example.org,BR620,SBIN0428491,CASH,42075.66,1004.67,43080.33,PENDING,2026-05-27,2026-04-24,REF64428667,Delayed payment
